,person,herkunft,lebensdaten,karriere
0,Abe Bunjirô 阿部文次郎,Niigata,21.3.1880–,"1912–1914 Recht ♦ SS 1913–WS 1913/14 – U Berlin, Schöneberg, Wartburgstr. 17.Verwaltungsgerichtspräsident. Publik. u.a. Hasanhô genron 破産法原論 (Über Konkursgesetze), Shinyaku Doitsu roppô keiji soshôhô 新譯獨逸六法刑事訴訟法 (Neue Übersetzung der deutschen Strafprozeßordnung, 1911)."
1,Abe Isoo 阿部磯雄,Fukuoka,4.2.1865–10.2.1949,"WS 1894/95 Theologie – U Berlin, Steglitzerstr. 9.Professor der Waseda-Universität, Initiator und Aktivist der sozialistischen Bewegung in Japan vor 1945, Mitbegründer der Shakai Minshutô 1901, Vorsitzender der Nihon Fabian Kyôkai 1924, 1926 Mitbegründer der Unabhängigen Arbeiterliga Dokuritsu Rôdôkyôkai, dann der Sozialen Massenpartei Shakai Minshûtô, 1928 Abgeordneter des Shûgiin; Publikationen u.a. Shakai mondai kaishakuhô 社會問題解釋法 (Interpretationsmethoden sozialer Probleme), Shakaishugisha to naru made: Abe Isoo jijoden 社会主義者となるまで: 安部磯雄自叙伝 (Wie ich Sozialist wurde: Autobiografie von Abe Isoo, 1947), Abe Isoo no kenkyû 安部磯雄の研究 (Studien des Abe Isoo)."
2,Abe Masayoshi 阿部正義,Fukui-shi,2.7.1860–19.11. 1909,"1885–1890 und 1896–1898 Ingenieurwesen und Philosophie ♦ SS 1885–SS 1887 Hüttenkunde – BA Freiberg, Innenstadt Nr. 162b (heute: Nonnengasse 7); Vorstadt Nr. 89 (heute: Buchstr. 13); Innenstadt Nr. 227 (heute: Nonnengasse 6); ♦ WS 1887/88–WS 1889/90 Philosophie – U Heidelberg, Gaisbergstr. 10, bei Frl. Zimmermann; ♦ Juli 1896–Aug. 1898 (MfB) Hüttenkunde – BA Freiberg; Fischerstr. 8.Professor der Kyôto-Universität, Direktor des Stahlunternehmens Meiji Seiren KG, Beamter im MfLH."
3,Abe Masayuki,Ehime,11.5.1853–,"SS 1904–WS 1904/05 Medizin – U Greifswald, Langefuhrstr. 40."
4,Abe Mikishi 阿部美樹志,"Ichinoseki, Iwate-ken",4.5.1883–20.2.1965,SS 1914 Ingenieurwesen (Tiefbau) – TH Hannover.Präsident des Unternehmens Tôyô Semento. Publik. u.a. Analysis and tests of rigidly connected reinforced concrete frames.
5,Abe Nakao 阿部仲雄,"Maeda-mura, Akita-ken",1.8.1877–5.2.1933,"Aug. 1912–Febr. 1914 (SME) Medizin, 1912–1913 in Berlin.Arzt in Akita. Publik. u.a. Über die Ätiologie der Dysentrie, Über das japanische Bad und die Einführung eines Volksbades nach System Matsushita."
6,Abe Nobuyuki 阿部信行,Ishikawa-ken,24.11.1875–7.9.1953,"Nov. 1910–Jan. 1913 (Armee) Militärstudien als Major der Artillerie in Kassel, Neiße und Berlin ♦ Okt. 1911 Kommandierung für 1 Jahr zum 2. Bataillon des Fußartillerie-Regiments von Dieskau Nr. 6 in Neiße.Febr. 1913–Jan. 1914 Gehilfe des Militärattachés in Wien.General, wirkte mehrere Jahre unter Armeeminister Ugaki als dessen Stellvertreter, 1939 Premier- und Außenminister, 1944 letzter japanischer Gouverneur in Korea, Gründungspräsident der Yokusan Seijikai."
7,Abe Shûsuke (Hidesuke) 阿部秀助,Fukuoka,Juli 1876–4.1.1925,"WS 1910/11–WS 1911/12 Geschichte – U Berlin, W 50 Augsburger Str. 31.Professor der Keiô-Universität, Spezialist für moderne deutsche Geschichte. Publik. u.a. Doitsu tai rekkyô no kôsô 獨逸對列強の抗争 (Der Streit Deutschlands mit den Mächten, 1914), Sengo no Doitsu 戰後の独逸 (Nachkriegsdeutschland, 1917), Saikin Doitsu keizai gakusetsu 最近獨逸經濟學説 (Moderne deutsche Wirtschaftslehren)."
8,Abiko Masaru (Katsu) 吾孫子勝,Tôkyô,1871–11.9.1931,"WS 1903–WS 1906/07 (MfB) Recht – U Bonn, Schloßstr. 39; Goebenstr. 39.Professor an der Handelshochschule Kôbe Kôtô Kôgyô Gakkô. Publik. u.a. Kaisei shôhô tsûgi 改正商法通義 (Allgemeine Auslegung der revidierten Handelsgesetze, 1911), Doitsu keihôron 獨逸刑法論 (Übersetzung von Franz von Liszts Lehrbuch des deutschen Strafrechts), Mitübersetzer von Georg Meyers Lehrbuch des deutschen Staatsrechts (japanisch Doitsu kokuhôron 獨逸國法論)."
9,Adachi Buntarô (Fumitarô) 足立文太郎,"Izunokuni, Shizuoka-ken",15.6.1865–1.4.1945,"1899–1903(MfB) Medizin ♦ WS 1899/1900–WS 1902/03 Anatomie – U Straßburg, Pergamentergasse 4; Schwarzwaldstr. 56.Anatom, Professor der Kyôto-Universität, Dekan der Medizinischen Fakultät. Publik. u.a. Nihonjin taishitsu no kenkyû 日本人體質之研究 (Studien zur Körperbeschaffenheit der Japaner), Mitautor von Anatomie der Japaner (darunter Das Arteriensystem der Japaner, 2 Bde)."
10,Adachi Kenkichi 足立謙吉,Tôkyô-fu,30.10.1873–1941,Febr. 1912–1914 (MfB) Germanistik ♦ GH WS 1912/13 Deutsche Literatur – U Leipzig.Germanist. Erarbeitete mit Otto Hellfrisch Neues Deutsch-Japanisches Konversationsbuch (Tokyo 1910) und Doitsu zenchishi ôyô bunrei 独逸前置詞応用文例 (Anwendungsbeispiele der Präpositionen im Deutschen).
11,Adachi Sutejirô 足立捨次郎,Kyôto,12.4.1877–,"Okt. 1910–Jan. 1914 (MfB) Medizin in Berlin, Straßburg, Marburg ♦ WS 1912/13 Gynekologie – U Marburg, Uferstr. 2.Professor an der Medizinischen Hochschule Niigata Igaku Senmon Gakkô, Direktor des Adachi-Hospitals."
12,Adrian Hironoski,Nagasaki,27.12.1859–25.2.1844,"1883–1887 Medizin ♦ SS 1883–SS 1884 – U Tübingen; Grabenstr. 31 ♦ WS 1884/85–SS 1886 – U Marburg, Ketzerbachstr. 61, bei Zugführer Habekost.♦ WS 1886/87 – U Berlin; Albrechtstr. 2.Praktizierte als Arzt in Hermsdorf, wo er verstarb."
13,Agata Satoshi (Saburô),-,-,"SS 1913–SS 1914 Ingenieurwesen – TH Berlin, Charlottenburg, Clausewitzstr. 2/Gh."
14,Aibara (Aihara) Shirô 相原四郎,"Matsuyama-shi, Ehime-ken",2.8.1880–8.1.1911,"April 1910–Jan. 1911 von der Marine zum Königlich-Preußischen Aeronautischen Observatorium nach Lindenberg (bei Berlin).Gemeinsam mit dem Attaché der französischen Botschaft in Tôkyô, Yves Paul Gaston Le Prieur, hatte er zuvor ein Segelflugzeug entwickelt, mit dem am 5. Dezember 1909 der erste bemannte Flug in Japan erfolgte. In Berlin verstorben."
15,Aichi Keiichi 愛知敬一,Tôkyô,Juli 1880–23.6.1923,"Okt. 1908–Juli 1911 (MfB) NW-Studien ♦ SS 1909 Physik – U Göttingen, Kreuzbergweg 15 ♦ WS 1909/10–WS 1910/11 Mathematik – U Berlin, Charlottenburg, Leibnizstr. 44.Professor der Tôhoku-Universität. Publik. u.a. Jitsuyô kôtô sûgaku 實用高等數學 (Praktische Anwendung der höheren Mathematik), Rikigaku力學 (Dynamik), Denkigaku no taito Fuaradê no den 電氣學の泰斗ファラデーの傳 (Biografie des Experten der Elektrizizätslehre Faraday)."
16,Aiiso Makoto (Tashika) 相磯慥,Tôkyô,6.2.1858–,"Mai 1903–März 1905 (MfK) Medizin SS 1904 – U Berlin, NW Schiffbauerdamm 36.Hofarzt."
17,Akaboshi Kenzô 赤星研造,Chikuzen,1844–6.1.1904,"April 1866–Okt. 1873 (Han) Medizinstudien ♦ SS 1870–SS 1873 Chirurgie – U Heidelberg, Grabengasse 16, bei Louis; Augustinergasse 3, bei Fräulein Guttenstein.Kam als einer der ersten Studenten nach Deutschland, nahm am deutsch-französischen Krieg 1870 als Stabsarzt teil und sezierte gefallene Soldaten; nach seiner Rückkehr Hofarzt, Professor der Tôkyô-Universität, Direktor des Hospitals der Präfektur Miyagi in Sendai und des Hospitals seiner Heimatstadt Kurume."
18,Akagi Yasôkichi 赤城矢三吉,Hyôgo-ken,27.9.1877–,"Aug. 1912–1914 Medizin in Frankfurt/Main.Professor der Tôhoku-Universität, Direktor des Universitäts-Hospitals."
19,Akai Harumi 赤井春海,Chiba-ken,12.6.1876–14.12.1954,Dez. 1911–1913 (Armee) Militärstudien.Generalleutnant.
20,Akamatsu Noriyoshi (Daisaburô) 赤松則良(大三郎),Tôkyô,13.12.1841–23.9.1920,"Febr. 1873–Jan. 1874 (Marine) Militärstudien in Deutschland und Österreich.Vizeadmiral, 1887 zum Baron geadelt, 1889–1891 Stabschef im Marinedistrikt Sasebo, Schwiegervater von Mori Ôgai. Publik. u.a. Akamatsu Noriyoshi hanseidan: bakumatsu Ôranda ryûgaku no kiroku  赤松則良半生談: 幕末オランダ留学の記録(Geschichten aus der ersten Lebenshälfte des Akamatsu Noriyoshi: Aufzeichnungen der Hollandwissenschaften am Ende der Bakumatsu-Zeit), Mitautor von Shôgaku kika gahô 小學幾何畫法 (Elementarunterricht Geometrie und Malerei, 1878, 2 Bde)."
21,Akashi Motojirô 明石元次郎,"Tenshin-machi, Fukuoka-ken",1.9.1864–24.10.1919,"Febr. 1894–April 1895 (Armee) Militärstudien ♦ 1901–1902 erneut im Auftrag des japanischen Geheimdienstes in Deutschland, der Schweiz, Schweden, Frankreich und RusslandFebr. 1906–Jan. 1907 Militärattaché in Berlin.General, Baron, 1908 Oberkommandierender der Gendarmerie in Korea, 1910 Generalstabschef der japanischen Streitkräfte in Korea, dann Polizeipräsident in Korea, 1914 aktive Teilnahme am Feldzug gegen Deutschland in Qingdao, 1918 Gouverneur von Taiwan. Publik. u.a. Rakka ryusui: Akashi Motojirô taishô ikô, 落花流水: 明石元二郎大将遺稿 1938 (englische Übersetzung erschien unter dem Titel: Rakka ryusui: Colonel Akashi’s report on his secret cooperation with the Russian revolutionary parties during the Russo-Japanese War. Selected chapters translated by Inaba Chiharu and edited by Olavi K. Falt and Antti Kujala)."
22,Akatsu Seinai 赤津誠内,Fukushima-ken,15.9.1886–,"Febr. 1913–1914 Medizin ♦ SS 1914 Dermatologie – U München, Paul Heysestr. 28.Direktor des Akatsu-Hospitals."
23,Akatsuka Toranosuke 赤塚寅之助,"Iwakinokuni, Fukushima-ken",18.12.1878–,"WS 1910/11–WS 1911/12 Medizin (Augenheilkunde) – U München, Waltherstr. 16/2 r.Dr. med. 1912, München: Über Osteogenesis imperfecta congenita. 24 S., 2 Taf.Arzt in Ôsaka."
24,Akimoto Ryûjirô 秋元隆次郎,Tôkyô,-,"1912–1913 Medizin in Berlin.Arzt in Kyôto. Publik. u.a. Mitautor von Tabiji no sora: taisei kitan 旅路之空 : 泰西奇譚  (Reisefenster: Sagen aus dem Abendland, Märchen von Wilhelm Hauff)."
25,Akiyama Renzô 秋山練造,Tôkyô,Juli 1872–14.8.1942,1911 (Armee) als Militärarzt in Dresden.Direktor der Heeresmedizinschule.
26,Akiyama Shichirô 秋山七郎,Yamanashi-ken,27.7.1869–,"1903–1904 Medizin ♦ SS 1903–WS 1903/04 – U Erlangen; Bismarckstr. 36 ♦ SS 1904 – U München; Spitalstr. 7/3.Dr. med. 1904, München: Ein weiterer Beitrag zur Aetiologie der Noma. 33 S.Arzt in Akasaka, Tôkyô."
27,Akiyama Taeji 秋山妙治,Tôkyô,13.6.1868–,"April 1909–März 1913 Medizin ♦ SS 1910–WS 1911/12 – U Göttingen, Goßlerstr. 9♦ SS 1912–WS 1912/13 – U Berlin, N 4 Kesselstr. 25.Dr. med. 1911, Göttingen: Klinisch-statistische Übersicht über die vom 1. Januar 1908 bis 1. Januar 1911 in der Medizinischen Klinik zu Göttingen behandelten Fälle von Typhus abdominalis. 30 S.Arzt, Leiter der Lebensversicherung Teikoku Seimei Hoken."
28,Akutsu Saburô 阿久津三郎,Fukushima-ken,20.10.1875–6.12.1932,"SS 1901–WS 1901/02 Medizin – U Berlin, NW 6 Luisenstr. 61.Arzt."
29,Amago Tamiya 天児民惠,Tokushima-ken,5.3.1873–16.9.1935,"Aug. 1909–1910 (LB) Medizin am RKI Berlin ♦ 1910 Praktikum im Virchow-Krankenhaus, BerlinArzt in Tokushima, Direktor des Forschungsinstituts für Biologie in Kôbe."
30,Amano Kojirô 天野瑚次郎,-,-,"1888–1891 vom MfA in Berlin ♦ GH WS 1888/89–SS 1889 – U Berlin, japanische Gesandtschaft.Diplomat."
31,Amaya Senmatsu 天谷千松,Tôkyô,24.7.1866–9.10.1933,"Juli 1896–Nov. 1899 (MfB) Medizin (Physiologie) ♦ WS 1896/97–SS 1897 – U Würzburg, Pleicher Kirchplatz 3; Kaiserstr. 9 ♦ WS 1897/98–SS 1899 – U Leipzig, Liebigstr. 3; Emilienstr. 46.Professor an der Kyôto-Universität. Publik. u.a. Mitautor von Dai seirigaku 大生理学 (Große Physiologie, 1909)."
32,Amenomiya Ryôshichirô 雨宮量七郎,"Hachigata-mura, Saitama-ken",26.2.1874–,"Dez. 1907–Febr. 1911 (Marine) Medizin (Innere) ♦ SS 1908–WS 1909/10 – U Berlin, NW 6 Luisenstr. 67 ♦ 1910–Febr. 1911 Praktikum an einem Hospital in Berlin.Vize-Admiral, Direktor des Marine-Hospitals in Sasebo und Kure."
33,Amenomiya Tôkichi 雨宮藤吉,Tôkyô,15.11.1875–7.3.1929,"Febr. 1901–Sept. 1905 Pharmazie in Marburg, Breslau, Berlin und Kiel ♦ SS 1901–SS 1902 – U Marburg, Kasernenstr. 8, bei Spieß ♦ WS 1902/03–SS 1903 – U Breslau, Tiergartenstr. 49a ♦ WS 1903/04 – TH Berlin.Gründer und Präsident der Tôkyô Pharmazeutik."
